time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-26T15:17:17.940Z,-3.2701,102.0258,99.31,4.5,mb,,132,1.426,0.82,us,us1000ghlm,2018-08-26T16:05:00.040Z,"60km WNW of Curup, Indonesia",earthquake,8.7,7.2,0.083,42,reviewed,us,us
2018-08-26T14:33:01.210Z,-3.097,136.7757,45.82,5,mb,,38,4.524,0.6,us,us1000ghlf,2018-08-26T14:59:34.040Z,"102km NNE of Enarotali, Indonesia",earthquake,9,5.8,0.06,88,reviewed,us,us
2018-08-26T14:04:49.879Z,69.5767,-144.2493,0,2.7,ml,,,,0.93,ak,ak20220185,2018-08-26T14:10:22.038Z,"66km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-08-26T13:59:31.870Z,37.4958,72.1829,192.53,4.3,mb,,88,0.417,0.41,us,us1000ghl9,2018-08-26T15:23:28.040Z,"41km NE of Roshtqal'a, Tajikistan",earthquake,8,8.5,0.237,5,reviewed,us,us
2018-08-26T13:59:30.079Z,62.9078,-151.0381,110.7,2.7,ml,,,,0.48,ak,ak20220174,2018-08-26T14:10:21.729Z,"80km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-26T13:47:45.127Z,62.7083,-149.3629,55.8,3.1,ml,,,,0.57,ak,ak20220162,2018-08-26T13:52:39.181Z,"57km NE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-26T13:45:13.230Z,37.4938,72.136,186.25,4.1,mb,,130,0.38,0.32,us,us1000ghl4,2018-08-26T14:24:16.040Z,"37km NE of Roshtqal'a, Tajikistan",earthquake,5.9,6.3,0.521,1,reviewed,us,us
2018-08-26T13:25:37.410Z,63.4895,-151.2279,0,3,ml,,,,1.03,ak,ak20220144,2018-08-26T13:30:44.134Z,"114km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-08-26T12:59:25.360Z,19.4586,-64.921,103,3.38,md,12,336,1.6106,0.29,pr,pr2018238003,2018-08-26T15:56:03.322Z,"119km NNW of Road Town, British Virgin Islands",earthquake,5.69,9.89,0.42,9,reviewed,pr,pr
2018-08-26T12:57:00.620Z,-7.0992,128.8962,152.18,4.5,mb,,142,2.538,0.74,us,us1000ghkx,2018-08-26T13:13:41.040Z,"283km WNW of Saumlaki, Indonesia",earthquake,6.7,14.5,0.164,11,reviewed,us,us
2018-08-26T12:23:09.751Z,57.1134,-145.86,0.1,3.7,ml,,,,0.27,ak,ak20218899,2018-08-26T18:06:14.933Z,"260km S of Middleton Island, Alaska",earthquake,,3.1,,,reviewed,ak,ak
2018-08-26T10:27:38.747Z,69.6625,-144.292,0,2.5,ml,,,,0.76,ak,ak20217662,2018-08-26T10:33:25.418Z,"58km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-26T09:26:33.460Z,-5.4944,147.2921,190.55,4.9,mb,,139,3.887,0.7,us,us1000ghju,2018-08-26T10:12:17.521Z,"138km NNW of Finschhafen, Papua New Guinea",earthquake,9.6,11.6,0.162,12,reviewed,us,us
2018-08-26T08:54:20.897Z,69.6214,-145.2058,35.4,2.5,ml,,,,0.99,ak,ak20216429,2018-08-26T09:01:08.512Z,"83km SW of Kaktovik, Alaska",earthquake,,13.9,,,automatic,ak,ak
2018-08-26T08:44:03.230Z,38.8421669,-122.8341675,1.08,2.52,md,22,102,0.04569,0.04,nc,nc73075985,2018-08-27T05:09:41.287Z,"10km NW of The Geysers, CA",earthquake,0.17,0.66,0.14,16,automatic,nc,nc
2018-08-26T08:38:27.210Z,44.0445,149.6439,10,4.5,mb,,190,5.08,0.6,us,us1000ghjh,2018-08-26T09:29:51.040Z,"192km SE of Kuril'sk, Russia",earthquake,11,2,0.089,37,reviewed,us,us
2018-08-26T08:25:03.400Z,34.6226,46.3146,10,4.1,mb,,105,0.694,0.7,us,us1000ghj8,2018-08-26T08:47:52.040Z,"26km SW of Javanrud, Iran",earthquake,6.2,2,0.15,12,reviewed,us,us
2018-08-26T07:59:39.370Z,44.2306,149.6417,32.65,4.6,mb,,137,5.071,0.95,us,us1000ghix,2018-08-26T08:22:44.040Z,"178km SE of Kuril'sk, Russia",earthquake,9.6,5.9,0.053,107,reviewed,us,us
2018-08-26T07:47:44.316Z,69.6485,-145.2005,0.8,2.7,ml,,,,0.69,ak,ak20215192,2018-08-26T07:59:09.785Z,"81km SW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-26T07:26:06.240Z,-20.8821,-173.8617,10,5.3,mww,,33,4.113,1.62,us,us1000ghii,2018-08-26T07:50:34.040Z,"123km ENE of `Ohonua, Tonga",earthquake,8.1,1.9,0.073,18,reviewed,us,us
2018-08-26T07:10:38.980Z,19.3493328,-155.1261597,6.35,2.57,ml,41,192,0.03535,0.3,hv,hv70563922,2018-08-26T07:16:24.080Z,"14km SE of Volcano, Hawaii",earthquake,0.78,0.52,2.5,25,automatic,hv,hv
2018-08-26T06:57:15.010Z,43.4519,-128.1368,10,3.1,ml,,278,2.984,0.72,us,us1000ghi6,2018-08-26T16:35:38.166Z,"Off the coast of Oregon",earthquake,5,2,0.05,52,reviewed,us,us
2018-08-26T06:40:57.787Z,69.4452,-144.1009,10.2,2.8,ml,,,,0.74,ak,ak20215164,2018-08-26T06:48:43.087Z,"78km SSW of Kaktovik, Alaska",earthquake,,1.9,,,automatic,ak,ak
2018-08-26T06:09:18.580Z,37.0598,-97.3709,6.08,2.8,mb_lg,,147,0.097,0.16,us,us1000ghh7,2018-08-27T18:49:12.857Z,"21km E of Caldwell, Kansas",earthquake,1.3,2.4,0.058,78,reviewed,us,us
2018-08-26T05:57:11.950Z,44.2039,149.5945,7.87,5.1,mb,,123,5.038,0.99,us,us1000ghh1,2018-08-26T06:15:40.040Z,"177km SE of Kuril'sk, Russia",earthquake,8.9,4.5,0.033,304,reviewed,us,us
2018-08-26T05:52:29.348Z,69.623,-144.3586,35.5,2.6,ml,,,,0.78,ak,ak20213927,2018-08-26T11:13:52.040Z,"63km SSW of Kaktovik, Alaska",earthquake,,13.6,,,automatic,ak,ak
2018-08-26T05:43:25.220Z,-5.026,152.1616,55.91,5.1,mww,,25,0.829,0.99,us,us1000ghgp,2018-08-26T22:10:50.668Z,"75km S of Kokopo, Papua New Guinea",earthquake,8,5.2,0.073,18,reviewed,us,us
2018-08-26T04:42:49.820Z,55.6489,-161.9425,179.66,2.8,ml,,92,0.086,0.67,us,us1000ghml,2018-08-26T21:47:21.040Z,"71km NE of Cold Bay, Alaska",earthquake,10.3,7.6,0.115,10,reviewed,us,us
2018-08-26T04:21:51.560Z,-7.6716,128.9431,85.43,4.2,mb,,74,2.354,0.83,us,us1000ghfy,2018-08-26T21:42:21.040Z,"263km W of Saumlaki, Indonesia",earthquake,8.3,10.9,0.152,12,reviewed,us,us
